Category,Year,Date,Weekday,Current_Match,Country,Commodity,Transport_Mode,Measure,Value,Cumulative
Reimpor,2015,31/01/2015,Saturday,2020-01-02,All,All,All,$,0,0
Reimpor,2016,30/01/2016,Saturday,2020-01-02,All,All,All,$,0,0
Reimpor,2017,04/02/2017,Saturday,2020-01-02,All,All,All,$,0,0
Reimpor,2018,03/02/2018,Saturday,2020-01-02,All,All,All,$,0,0
Reimpor,2020,01/02/2020,Saturday,2020-01-02,All,All,All,$,0,0
Reimpor,2019,02/02/2019,Saturday,2020-01-02,All,All,All,$,0,0
Reimpor,2016,28/02/2016,Sunday,2020-01-03,All,All,All,$,0,14000000
Reimpor,2017,05/03/2017,Sunday,2020-01-03,All,All,All,$,0,10000000
Reimpor,2018,04/03/2018,Sunday,2020-01-03,All,All,All,$,0,15000000
Reimpor,2020,01/03/2020,Sunday,2020-01-03,All,All,All,$,0,14000000
Reimpor,2015,01/03/2015,Sunday,2020-01-03,All,All,All,$,1000000,22000000
Reimpor,2019,03/03/2019,Sunday,2020-01-03,All,All,All,$,0,13000000
Reimpor,2015,01/04/2015,Wednesday,2020-01-04,All,All,All,$,1000000,42000000
Reimpor,2019,03/04/2019,Wednesday,2020-01-04,All,All,All,$,1000000,30000000
Reimpor,2017,05/04/2017,Wednesday,2020-01-04,All,All,All,$,0,29000000
Reimpor,2016,30/03/2016,Wednesday,2020-01-04,All,All,All,$,1000000,33000000
Reimpor,2020,01/04/2020,Wednesday,2020-01-04,All,All,All,$,0,27000000
Reimpor,2018,04/04/2018,Wednesday,2020-01-04,All,All,All,$,0,28000000
Reimpor,2015,01/05/2015,Friday,2020-01-05,All,All,All,$,1000000,66000000
Reimpor,2020,01/05/2020,Friday,2020-01-05,All,All,All,$,2000000,43000000
Reimpor,2019,03/05/2019,Friday,2020-01-05,All,All,All,$,3000000,49000000
Reimpor,2016,29/04/2016,Friday,2020-01-05,All,All,All,$,1000000,57000000
Reimpor,2018,04/05/2018,Friday,2020-01-05,All,All,All,$,0,56000000
Reimpor,2017,05/05/2017,Friday,2020-01-05,All,All,All,$,1000000,44000000
Reimpor,2017,05/06/2017,Monday,2020-01-06,All,All,All,$,0,57000000
Reimpor,2019,03/06/2019,Monday,2020-01-06,All,All,All,$,0,63000000
Reimpor,2018,04/06/2018,Monday,2020-01-06,All,All,All,$,0,74000000
Reimpor,2016,30/05/2016,Monday,2020-01-06,All,All,All,$,1000000,72000000
Reimpor,2020,01/06/2020,Monday,2020-01-06,All,All,All,$,0,56000000
Reimpor,2015,01/06/2015,Monday,2020-01-06,All,All,All,$,0,81000000
Reimpor,2016,29/06/2016,Wednesday,2020-01-07,All,All,All,$,2000000,90000000
Reimpor,2020,01/07/2020,Wednesday,2020-01-07,All,All,All,$,0,75000000
Reimpor,2015,01/07/2015,Wednesday,2020-01-07,All,All,All,$,0,93000000
Reimpor,2019,03/07/2019,Wednesday,2020-01-07,All,All,All,$,0,80000000
Reimpor,2017,05/07/2017,Wednesday,2020-01-07,All,All,All,$,1000000,70000000
Reimpor,2018,04/07/2018,Wednesday,2020-01-07,All,All,All,$,1000000,88000000
Reimpor,2017,05/08/2017,Saturday,2020-01-08,All,All,All,$,0,87000000
Reimpor,2019,03/08/2019,Saturday,2020-01-08,All,All,All,$,0,94000000
Reimpor,2015,01/08/2015,Saturday,2020-01-08,All,All,All,$,1000000,116000000
Reimpor,2020,01/08/2020,Saturday,2020-01-08,All,All,All,$,1000000,101000000
Reimpor,2016,30/07/2016,Saturday,2020-01-08,All,All,All,$,0,105000000
